disease,symptoms
Fungalinfection,"['itching', 'skin rash', 'nodal skin eruptions']"
Fungalinfection,"['skin rash', 'nodal skin eruptions', 'dischromic patches']"
Fungalinfection,"['itching', 'nodal skin eruptions', 'dischromic patches']"
Fungalinfection,"['itching', 'skin rash', 'dischromic patches']"
Fungalinfection,"['itching', 'skin rash', 'nodal skin eruptions']"
Fungalinfection,"['skin rash', 'nodal skin eruptions', 'dischromic patches']"
Fungalinfection,"['itching', 'nodal skin eruptions', 'dischromic patches']"
Fungalinfection,"['itching', 'skin rash', 'dischromic patches']"
Fungalinfection,"['itching', 'skin rash', 'nodal skin eruptions']"
Fungalinfection,"['itching', 'skin rash', 'nodal skin eruptions']"
Allergy,"['continuous sneezing', 'shivering', 'chills']"
Allergy,"['shivering', 'chills', 'watering from eyes']"
Allergy,"['continuous sneezing', 'chills', 'watering from eyes']"
Allergy,"['continuous sneezing', 'shivering', 'watering from eyes']"
Allergy,"['continuous sneezing', 'shivering', 'chills']"
Allergy,"['shivering', 'chills', 'watering from eyes']"
Allergy,"['continuous sneezing', 'chills', 'watering from eyes']"
Allergy,"['continuous sneezing', 'shivering', 'watering from eyes']"
Allergy,"['continuous sneezing', 'shivering', 'chills']"
Allergy,"['continuous sneezing', 'shivering', 'chills']"
GERD,"['stomach pain', 'acidity', 'ulcers on tongue']"
GERD,"['stomach pain', 'ulcers on tongue', 'vomiting']"
GERD,"['stomach pain', 'acidity', 'vomiting']"
GERD,"['stomach pain', 'acidity', 'ulcers on tongue']"
GERD,"['stomach pain', 'acidity', 'ulcers on tongue']"
GERD,"['stomach pain', 'acidity', 'ulcers on tongue']"
GERD,"['acidity', 'ulcers on tongue', 'vomiting']"
GERD,"['stomach pain', 'ulcers on tongue', 'vomiting']"
GERD,"['stomach pain', 'acidity', 'vomiting']"
GERD,"['stomach pain', 'acidity', 'ulcers on tongue']"
Chroniccholestasis,"['itching', 'vomiting', 'yellowish skin']"
Chroniccholestasis,"['vomiting', 'yellowish skin', 'nausea']"
Chroniccholestasis,"['itching', 'yellowish skin', 'nausea']"
